"","i","sampno","V1","chain"
"702",18,1400,9,1
"703",18,1500,10,1
"704",18,1600,9,1
"705",18,1700,9,1
"706",18,1800,9,1
"707",18,1900,9,1
"708",18,2000,8,1
"709",18,2100,8,1
"710",18,2200,7,1
"711",18,2300,7,1
"712",18,2400,8,1
"713",18,2500,9,1
"714",18,2600,8,1
"715",18,2700,8,1
"716",18,2800,8,1
"717",18,2900,7,1
"718",18,3000,9,1
"719",18,3100,8,1
"720",18,3200,8,1
"721",18,3300,8,1
"722",18,3400,7,1
"723",18,3500,7,1
"724",18,3600,6,1
"725",18,3700,8,1
"726",18,3800,7,1
"727",18,3900,8,1
"728",18,4000,8,1
"729",18,4100,8,1
"730",18,4200,7,1
"731",18,4300,8,1
"732",18,4400,8,1
"733",18,4500,8,1
"734",18,4600,8,1
"735",18,4700,8,1
"736",18,4800,8,1
"737",18,4900,8,1
"738",18,5000,8,1
"739",19,1000,6,1
"740",19,1100,6,1
"741",19,1200,5,1
"742",19,1300,5,1
"743",19,1400,5,1
"744",19,1500,5,1
"745",19,1600,7,1
"746",19,1700,8,1
"747",19,1800,8,1
"748",19,1900,8,1
"749",19,2000,8,1
"750",19,2100,9,1
"751",19,2200,8,1
"752",19,2300,7,1
"753",19,2400,7,1
"754",19,2500,7,1
"755",19,2600,7,1
"756",19,2700,7,1
"757",19,2800,7,1
"758",19,2900,7,1
"759",19,3000,7,1
"760",19,3100,7,1
"761",19,3200,8,1
"762",19,3300,8,1
"763",19,3400,8,1
"764",19,3500,7,1
"765",19,3600,7,1
"766",19,3700,7,1
"767",19,3800,8,1
"768",19,3900,8,1
"769",19,4000,8,1
"770",19,4100,7,1
"771",19,4200,7,1
"772",19,4300,7,1
"773",19,4400,7,1
"774",19,4500,7,1
"775",19,4600,7,1
"776",19,4700,8,1
"777",19,4800,8,1
"778",19,4900,8,1
"779",19,5000,8,1
"780",20,1000,10,1
"781",20,1100,11,1
"782",20,1200,11,1
"783",20,1300,11,1
"784",20,1400,10,1
"785",20,1500,11,1
"786",20,1600,11,1
"787",20,1700,11,1
"788",20,1800,11,1
"789",20,1900,11,1
"790",20,2000,11,1
"791",20,2100,12,1
"792",20,2200,12,1
"793",20,2300,12,1
"794",20,2400,12,1
"795",20,2500,12,1
"796",20,2600,12,1
"797",20,2700,12,1
"798",20,2800,11,1
"799",20,2900,9,1
"800",20,3000,9,1
"801",20,3100,10,1
"802",20,3200,10,1
"803",20,3300,10,1
"804",20,3400,10,1
"805",20,3500,10,1
"806",20,3600,10,1
"807",20,3700,9,1
"808",20,3800,9,1
"809",20,3900,9,1
"810",20,4000,9,1
"811",20,4100,9,1
"812",20,4200,9,1
"813",20,4300,9,1
"814",20,4400,9,1
"815",20,4500,9,1
"816",20,4600,9,1
"817",20,4700,9,1
"818",20,4800,9,1
"819",20,4900,9,1
"820",20,5000,9,1
"821",21,1000,9,1
"822",21,1100,8,1
"823",21,1200,8,1
"824",21,1300,5,1
"825",21,1400,6,1
"826",21,1500,6,1
"827",21,1600,6,1
"828",21,1700,6,1
"829",21,1800,6,1
"830",21,1900,6,1
"831",21,2000,6,1
"832",21,2100,6,1
"833",21,2200,6,1
"834",21,2300,6,1
"835",21,2400,6,1
"836",21,2500,6,1
"837",21,2600,6,1
"838",21,2700,6,1
"839",21,2800,6,1
"840",21,2900,6,1
"841",21,3000,6,1
"842",21,3100,6,1
"843",21,3200,6,1
"844",21,3300,6,1
"845",21,3400,6,1
"846",21,3500,6,1
"847",21,3600,6,1
"848",21,3700,6,1
"849",21,3800,6,1
"850",21,3900,6,1
"851",21,4000,6,1
"852",21,4100,6,1
"853",21,4200,6,1
"854",21,4300,6,1
"855",21,4400,6,1
"856",21,4500,6,1
"857",21,4600,6,1
"858",21,4700,6,1
"859",21,4800,6,1
"860",21,4900,6,1
"861",21,5000,6,1
"862",22,1000,9,1
"863",22,1100,7,1
"864",22,1200,8,1
"865",22,1300,6,1
"866",22,1400,5,1
"867",22,1500,6,1
"868",22,1600,5,1
"869",22,1700,4,1
"870",22,1800,3,1
"871",22,1900,4,1
"872",22,2000,4,1
"873",22,2100,4,1
"874",22,2200,5,1
"875",22,2300,5,1
"876",22,2400,8,1
"877",22,2500,6,1
"878",22,2600,4,1
"879",22,2700,3,1
"880",22,2800,3,1
"881",22,2900,3,1
"882",22,3000,3,1
"883",22,3100,4,1
"884",22,3200,5,1
"885",22,3300,4,1
"886",22,3400,4,1
"887",22,3500,4,1
"888",22,3600,5,1
"889",22,3700,4,1
"890",22,3800,5,1
"891",22,3900,4,1
"892",22,4000,6,1
"893",22,4100,5,1
"894",22,4200,6,1
"895",22,4300,7,1
"896",22,4400,6,1
"897",22,4500,6,1
"898",22,4600,6,1
"899",22,4700,5,1
"900",22,4800,5,1
"901",22,4900,6,1
"902",22,5000,5,1
"903",23,1000,4,1
"904",23,1100,3,1
"905",23,1200,2,1
"906",23,1300,3,1
"907",23,1400,3,1
"908",23,1500,3,1
"909",23,1600,4,1
"910",23,1700,4,1
"911",23,1800,4,1
"912",23,1900,4,1
"913",23,2000,4,1
"914",23,2100,4,1
"915",23,2200,4,1
"916",23,2300,4,1
"917",23,2400,5,1
"918",23,2500,5,1
"919",23,2600,4,1
"920",23,2700,4,1
"921",23,2800,4,1
"922",23,2900,4,1
"923",23,3000,4,1
"924",23,3100,4,1
"925",23,3200,4,1
"926",23,3300,4,1
"927",23,3400,4,1
"928",23,3500,4,1
"929",23,3600,4,1
"930",23,3700,4,1
"931",23,3800,4,1
"932",23,3900,4,1
"933",23,4000,4,1
"934",23,4100,4,1
"935",23,4200,4,1
"936",23,4300,4,1
"937",23,4400,4,1
"938",23,4500,4,1
"939",23,4600,4,1
"940",23,4700,4,1
"941",23,4800,4,1
"942",23,4900,4,1
"943",23,5000,3,1
"944",24,1000,2,1
"945",24,1100,2,1
"946",24,1200,2,1
"947",24,1300,2,1
"948",24,1400,2,1
"949",24,1500,2,1
"950",24,1600,3,1
"951",24,1700,2,1
"952",24,1800,2,1
"953",24,1900,2,1
"954",24,2000,2,1
"955",24,2100,3,1
"956",24,2200,2,1
"957",24,2300,2,1
"958",24,2400,2,1
"959",24,2500,2,1
"960",24,2600,2,1
"961",24,2700,2,1
"962",24,2800,2,1
"963",24,2900,2,1
"964",24,3000,2,1
"965",24,3100,2,1
"966",24,3200,2,1
"967",24,3300,2,1
"968",24,3400,2,1
"969",24,3500,2,1
"970",24,3600,2,1
"971",24,3700,2,1
"972",24,3800,2,1
"973",24,3900,2,1
"974",24,4000,2,1
"975",24,4100,2,1
"976",24,4200,2,1
"977",24,4300,2,1
"978",24,4400,2,1
"979",24,4500,2,1
"980",24,4600,2,1
"981",24,4700,2,1
"982",24,4800,2,1
"983",24,4900,2,1
"984",24,5000,2,1
"985",25,1000,6,1
"986",25,1100,6,1
"987",25,1200,6,1
"988",25,1300,7,1
"989",25,1400,7,1
"990",25,1500,8,1
"991",25,1600,7,1
"992",25,1700,7,1
"993",25,1800,7,1
"994",25,1900,7,1
"995",25,2000,7,1
"996",25,2100,7,1
"997",25,2200,5,1
"998",25,2300,7,1
"999",25,2400,7,1
"1000",25,2500,7,1
"1001",25,2600,7,1
"1002",25,2700,7,1
"1003",25,2800,7,1
"1004",25,2900,7,1
"1005",25,3000,7,1
"1006",25,3100,7,1
"1007",25,3200,7,1
"1008",25,3300,7,1
"1009",25,3400,7,1
"1010",25,3500,7,1
"1011",25,3600,7,1
"1012",25,3700,7,1
"1013",25,3800,7,1
"1014",25,3900,7,1
"1015",25,4000,7,1
"1016",25,4100,7,1
"1017",25,4200,7,1
"1018",25,4300,7,1
"1019",25,4400,7,1
"1020",25,4500,7,1
"1021",25,4600,7,1
"1022",25,4700,7,1
"1023",25,4800,7,1
"1024",25,4900,7,1
"1025",25,5000,7,1
"1026",26,1000,12,1
"1027",26,1100,11,1
"1028",26,1200,11,1
"1029",26,1300,11,1
"1030",26,1400,11,1
"1031",26,1500,9,1
"1032",26,1600,10,1
"1033",26,1700,9,1
"1034",26,1800,9,1
"1035",26,1900,9,1
"1036",26,2000,9,1
"1037",26,2100,9,1
"1038",26,2200,9,1
"1039",26,2300,10,1
"1040",26,2400,10,1
"1041",26,2500,10,1
"1042",26,2600,11,1
"1043",26,2700,12,1
"1044",26,2800,13,1
"1045",26,2900,14,1
"1046",26,3000,12,1
"1047",26,3100,11,1
"1048",26,3200,12,1
"1049",26,3300,14,1
"1050",26,3400,16,1
"1051",26,3500,14,1
"1052",26,3600,14,1
"1053",26,3700,14,1
"1054",26,3800,14,1
"1055",26,3900,14,1
"1056",26,4000,14,1
"1057",26,4100,13,1
"1058",26,4200,13,1
"1059",26,4300,12,1
"1060",26,4400,12,1
"1061",26,4500,10,1
"1062",26,4600,10,1
"1063",26,4700,10,1
"1064",26,4800,10,1
"1065",26,4900,10,1
"1066",26,5000,10,1
"1067",27,1000,3,1
"1068",27,1100,3,1
"1069",27,1200,3,1
"1070",27,1300,3,1
"1071",27,1400,3,1
"1072",27,1500,3,1
"1073",27,1600,3,1
"1074",27,1700,3,1
"1075",27,1800,3,1
"1076",27,1900,3,1
"1077",27,2000,3,1
"1078",27,2100,3,1
"1079",27,2200,3,1
"1080",27,2300,3,1
"1081",27,2400,3,1
"1082",27,2500,3,1
"1083",27,2600,3,1
"1084",27,2700,3,1
"1085",27,2800,3,1
"1086",27,2900,3,1
"1087",27,3000,3,1
"1088",27,3100,3,1
"1089",27,3200,3,1
"1090",27,3300,3,1
"1091",27,3400,3,1
"1092",27,3500,3,1
"1093",27,3600,3,1
"1094",27,3700,3,1
"1095",27,3800,3,1
"1096",27,3900,3,1
"1097",27,4000,3,1
"1098",27,4100,3,1
"1099",27,4200,3,1
"1100",27,4300,3,1
"1101",27,4400,3,1
"1102",27,4500,3,1
"1103",27,4600,3,1
"1104",27,4700,3,1
"1105",27,4800,3,1
"1106",27,4900,3,1
"1107",27,5000,3,1
"1108",28,1000,8,1
"1109",28,1100,8,1
"1110",28,1200,8,1
"1111",28,1300,8,1
"1112",28,1400,8,1
"1113",28,1500,8,1
"1114",28,1600,8,1
"1115",28,1700,8,1
"1116",28,1800,8,1
"1117",28,1900,8,1
"1118",28,2000,8,1
"1119",28,2100,8,1
"1120",28,2200,8,1
"1121",28,2300,8,1
"1122",28,2400,8,1
"1123",28,2500,8,1
"1124",28,2600,8,1
"1125",28,2700,8,1
"1126",28,2800,8,1
"1127",28,2900,8,1
"1128",28,3000,8,1
"1129",28,3100,8,1
"1130",28,3200,8,1
"1131",28,3300,8,1
"1132",28,3400,8,1
"1133",28,3500,8,1
"1134",28,3600,8,1
"1135",28,3700,8,1
"1136",28,3800,8,1
"1137",28,3900,8,1
"1138",28,4000,8,1
"1139",28,4100,8,1
"1140",28,4200,8,1
"1141",28,4300,8,1
"1142",28,4400,8,1
"1143",28,4500,8,1
"1144",28,4600,8,1
"1145",28,4700,8,1
"1146",28,4800,8,1
"1147",28,4900,8,1
"1148",28,5000,8,1
"1149",29,1000,7,1
